Querier,Cache log,Generation Time,Execution Time
Querier,Cache log,Generation Time,Execution Time
Querier,Cache log,Generation Time,Execution Time
29826,miss,319.492033,15.083581
5997,miss,15.219116,6.391311
9726,miss,9.237037,6.2291
9726,hit,0,4.190677
16622,miss,8.251614,5.332945
35470,miss,8.329852,6.411365
29826,miss,7.790487,7.580636
12487,miss,8.515716,6.550954
11835,miss,8.070374,4.459938
2124,miss,12.427262,5.093078
28836,miss,8.118981,4.15316
35756,miss,8.45272,4.763669
5997,hit,0,4.739929
16622,hit,0,5.530032
11835,hit,0,6.025734
13073,miss,7.237684,7.097695
35244,miss,8.203904,6.108592
35244,hit,0,5.72775
35756,hit,0,6.338253
35244,hit,0,6.584727
29826,miss,7.490965,6.455598
1581,miss,8.187877,4.995594
30134,miss,8.33553,6.255161
11835,hit,0,5.995555
5997,hit,0,6.690069
31418,miss,8.583371,5.297681
16622,hit,0,6.173805
11835,hit,0,6.440273
29826,miss,10.120228,6.668574
28836,hit,0,6.148334
13073,hit,0,6.592994
453,miss,10.628144,7.375869
31408,miss,11.321035,6.800286
11835,hit,0,6.71268
9726,hit,0,7.364626
29826,miss,9.451494,7.136048
35244,hit,0,6.815476
25113,miss,11.47668,7.484745
11315,miss,11.074947,8.462611
16948,miss,11.864895,7.407866
19782,miss,10.030621,9.281777
19782,hit,0,9.019517
16948,hit,0,8.939116
10285,miss,9.973434,8.158191
12487,hit,0,8.092432
28393,miss,10.369191,7.238146
5566,miss,8.34597,6.204813
8071,miss,12.787286,6.893692
35470,hit,0,6.825076
9726,soft-hit,14.370602,8.201049
4095,miss,12.91068,8.151253
19782,hit,0,8.122236
25113,hit,0,7.941866
31418,soft-hit,14.544726,7.951089
9189,miss,17.208359,8.140713
31418,hit,0,10.467036
5766,miss,17.307723,9.566668
35244,hit,0,7.730439
28114,miss,9.46237,6.876537
32083,miss,9.203956,6.980852
8071,hit,0,7.834342
28393,hit,0,9.253765
36348,miss,10.385879,7.757486
12813,miss,10.154734,7.902502
19719,miss,23.712385,8.465519
13512,miss,9.849329,8.636926
13512,hit,0,6.043535
15574,miss,220.388614,7.953689
29156,miss,10.773204,7.133452
14930,miss,10.233817,5.770246
6824,miss,9.362228,6.710501
6029,miss,12.241016,6.577736
5766,hit,0,7.194831
20239,miss,10.138458,5.907455
22549,miss,13.82548,6.019518
2124,hit,0,5.101049
2124,hit,0,4.821308
25113,hit,0,4.529705
12487,hit,0,4.201484
1160,miss,7.237961,4.257736
6029,hit,0,4.816514
32888,miss,8.092349,8.588128
24514,miss,10.333836,4.771917
31086,miss,5.918505,4.776093
9726,hit,0,6.121212
32083,hit,0,6.243731
16948,hit,0,6.632639
13944,miss,10.976653,8.939343
13959,miss,9.654239,8.682189
13073,hit,0,21.383132
7598,miss,11.420783,12.973238
13959,hit,0,14.55822
35470,hit,0,12.252179
2857,miss,12.76889,13.625697
19782,soft-hit,16.308442,13.032364
32888,hit,0,14.886925
23519,miss,13.993326,13.651456
36348,hit,0,10.091506
30117,miss,15.577051,11.258879
6029,soft-hit,11.984712,10.825742
35756,hit,0,8.645173
18648,miss,10.25741,8.301192
13944,hit,0,10.127974
30250,miss,9.219734,7.484507
12873,miss,9.685056,8.805986
1581,hit,0,7.806877
9823,miss,9.946003,12.576875
29864,miss,9.088535,8.973299
5997,hit,0,9.086607
6556,miss,10.206928,8.761042
25113,hit,0,8.392847
28114,hit,0,8.023115
35689,miss,11.028403,10.246191
7598,hit,0,7.943798
7598,hit,0,7.800542
19782,hit,0,12.234151
30117,hit,0,10.821938
8071,hit,0,9.05421
28836,hit,0,10.230403
35244,hit,0,9.84233
19719,hit,0,7.338942
7069,miss,11.66202,6.8357
13073,hit,0,6.652318
18648,hit,0,7.82193
26096,miss,10.455852,8.338818
6367,miss,8.931276,15.323667
10285,hit,0,8.842546
28114,hit,0,6.220611
11221,miss,8.500848,7.140807
11660,miss,8.255361,7.424936
15538,miss,10.022175,8.161091
9823,hit,0,10.05808
6556,hit,0,8.153482
1267,miss,9.673276,7.984387
11221,hit,0,9.053359
26096,hit,0,9.672932
9726,hit,0,10.661244
29864,hit,0,8.399332
453,hit,0,8.008495
18648,hit,0,7.865394
1581,hit,0,9.335549
26648,miss,10.04991,9.874945
2561,miss,10.254916,8.810021
19719,hit,0,8.752348
34568,miss,9.980908,8.751952
18306,miss,10.127909,7.800362
11221,hit,0,7.695691
29864,hit,0,7.794791
15814,miss,9.434412,7.165993
20239,soft-hit,14.432734,7.799535
19782,hit,0,9.234029
31086,hit,0,8.142405
13512,hit,0,7.232422
12840,miss,10.236915,7.314683
4331,miss,8.419732,6.677661
31086,hit,0,7.330809
25113,hit,0,7.663947
10285,hit,0,8.24231
10285,hit,0,8.050384
9746,miss,9.477068,10.208872
3822,miss,12.7523,8.092576
453,hit,0,6.201079
24802,miss,29.44165,8.170822
2561,hit,0,6.611427
9746,soft-hit,11.634619,4.994509
15538,hit,0,5.588479
28836,hit,0,5.710411
10054,miss,8.844134,7.019205
8071,hit,0,5.010164
2561,hit,0,6.316398
35796,miss,9.024284,7.42088
25223,miss,15.878705,5.288717
3822,hit,0,7.227539
29864,hit,0,5.34136
31086,hit,0,7.748853
29156,hit,0,9.203608
16920,miss,9.525726,5.981956
4331,hit,0,6.597927
3718,miss,9.729689,5.581626
19719,hit,0,6.163629
18306,hit,0,5.844511
9726,hit,0,5.365283
17463,miss,12.55456,6.417556
34772,miss,9.152296,7.440775
453,hit,0,5.056796
3718,hit,0,6.023098
27302,miss,10.614725,4.655833
10054,hit,0,5.574282
11315,hit,0,5.856192
3328,miss,12.645243,6.959933
16360,miss,9.273051,6.126447
12054,miss,9.491603,5.764137
35689,hit,0,6.034765
