Querier,Cache log,Generation Time,Execution Time
Querier,Cache log,Generation Time,Execution Time
Querier,Cache log,Generation Time,Execution Time
20995,miss,511.336724,47.946909
24125,miss,130.516136,63.141175
17778,miss,121.945988,21.091792
26265,miss,117.818545,21.113374
6516,miss,112.263277,30.630298
4702,miss,96.529186,23.146523
18530,miss,100.750777,15.539473
11835,miss,108.4632,16.841716
9674,miss,99.338858,18.746355
34084,miss,110.523422,37.494346
25357,miss,93.588178,65.150583
12873,miss,93.681773,17.819056
35546,miss,94.264321,16.792861
28490,miss,98.119441,31.780648
5618,miss,92.5746,23.827613
13073,miss,102.9473,17.998323
2102,miss,105.134222,53.333694
3476,miss,93.474631,30.832287
14451,miss,85.648889,23.301539
19719,miss,160.31766,63.695153
34647,miss,92.105434,13.818355
28513,miss,87.944871,20.284073
30414,miss,95.061827,20.382217
16771,miss,94.377452,16.892394
29156,miss,113.329153,21.728799
9189,miss,116.531362,338.386775
26994,miss,106.144649,27.81702
4331,miss,93.260928,16.143544
29864,miss,123.181711,36.625346
13572,miss,102.078887,25.394338
16143,miss,91.679444,20.014223
25223,miss,112.546389,18.690113
35240,miss,116.404279,35.94789
14601,miss,93.808193,17.658086
33418,miss,98.500514,16.926095
3328,miss,94.47461,18.899948
6979,miss,94.48092,19.516054
10455,miss,94.761872,26.355436
1545,miss,95.208939,15.763975
11282,miss,102.565318,61.808125
13572,soft-hit,105.125807,26.434714
28393,miss,184.571679,14.624645
15365,miss,92.502854,24.886549
11315,miss,104.46857,32.790052
8010,miss,96.573612,13.761106
35756,miss,105.865254,13.692073
13073,soft-hit,108.579298,21.242406
26718,miss,100.770788,17.601254
6415,miss,111.191244,24.011232
11595,miss,99.53935,25.732238
35836,miss,109.646955,18.007758
30134,miss,103.031453,47.950335
18131,miss,98.892901,15.614089
29072,miss,106.338795,19.211299
11282,hit,0,59.531254
16491,miss,92.299837,15.746885
17956,miss,121.880234,29.328496
20718,miss,128.262651,37.760228
35240,soft-hit,97.847784,31.402994
14996,miss,108.888262,33.515617
6415,hit,0,18.498084
13471,miss,131.622325,37.810603
3980,miss,103.708176,31.797686
32603,miss,95.575978,14.790409
17290,miss,95.536084,43.628014
4331,soft-hit,96.315785,17.272974
5566,miss,110.497148,23.247318
3980,hit,0,36.969249
32741,miss,105.705499,25.421079
19368,miss,103.104253,28.264545
2045,miss,880.201957,17.533554
13138,miss,137.447047,31.265676
31086,miss,106.977226,18.680085
18131,soft-hit,119.031551,18.788008
35836,soft-hit,137.578823,17.262798
5706,miss,129.940824,18.679875
31943,miss,100.30618,45.308293
25223,soft-hit,146.974808,25.413913
13748,miss,111.503281,66.664601
8620,miss,124.087824,18.253726
31418,miss,94.188459,24.411777
25113,miss,129.42936,49.346317
20845,miss,97.446297,34.16329
11383,miss,122.552893,17.622726
24061,miss,87.495758,15.592249
31102,miss,119.456004,23.651369
32888,miss,113.546618,18.626904
9726,miss,119.244828,19.104763
20011,miss,99.495206,30.064542
4889,miss,113.195256,20.033213
23540,miss,108.339223,49.12824
20011,soft-hit,100.817589,29.347589
26994,soft-hit,134.22485,28.441821
30311,miss,129.732018,21.266833
14451,soft-hit,99.271501,24.674438
17467,miss,115.665697,19.905507
22979,miss,129.090323,22.496041
16692,miss,124.030378,22.807117
4141,miss,140.916569,52.546208
721,miss,133.232621,27.000736
34647,soft-hit,96.561683,12.579109
5379,miss,97.978607,24.122854
2045,hit,0,14.779392
32779,miss,116.594499,41.507458
18648,miss,132.522755,35.949804
16771,soft-hit,130.217478,25.025614
34058,miss,145.225636,33.904149
6556,miss,135.681175,63.799622
1408,miss,100.095251,13.659645
19368,hit,0,26.985269
33049,miss,151.680202,55.883272
22282,miss,114.097173,22.369358
3980,soft-hit,127.181345,48.98709
26371,miss,117.639176,15.479984
24802,miss,131.843725,23.955596
17225,miss,120.089745,49.143608
20532,miss,136.88608,36.37394
23978,miss,149.676776,64.451096
36401,miss,147.23584,45.448895
35689,miss,113.654839,39.010921
428,miss,134.856618,20.445289
12148,miss,156.231854,58.482697
36373,miss,109.581383,30.287354
27302,miss,137.706877,23.329024
6367,miss,180.800715,23.941953
26697,miss,161.859571,17.788295
5692,miss,139.624388,60.013695
15230,miss,100.276542,19.51859
26096,miss,130.373484,12.28622
29936,miss,184.914045,10.058026
8071,miss,146.761374,41.433539
28194,miss,123.588646,22.605272
31418,hit,0,26.028274
23907,miss,129.845304,29.050696
16228,miss,104.229716,13.418862
30088,miss,109.654202,36.171394
18575,miss,124.110748,28.171765
19684,miss,87.406923,34.142168
29699,miss,103.717323,15.889463
31086,soft-hit,115.618733,22.101758
9189,soft-hit,142.389492,360.279598
16491,soft-hit,280.235853,54.494018
7432,miss,132.08674,19.814867
23416,miss,105.645687,23.710768
33728,miss,97.030265,29.367085
22019,miss,99.550279,31.806868
7327,miss,156.630124,14.890933
6556,soft-hit,167.625749,57.762648
6516,soft-hit,180.729877,31.170998
32634,miss,130.661708,211.168685
7598,miss,114.706584,10.282294
4167,miss,111.907168,16.139412
24061,soft-hit,101.100317,20.259559
28335,miss,102.646335,34.507179
34568,miss,127.057814,8.342435
13138,soft-hit,168.277748,32.224402
721,soft-hit,170.553406,24.027721
28513,soft-hit,139.259873,27.709564
32779,hit,0,39.958577
11135,miss,134.435156,10.102294
32069,miss,142.126088,19.077161
6556,hit,0,70.355082
10287,miss,153.603962,51.933562
29156,hit,0,20.245431
6516,hit,0,31.834173
35240,soft-hit,150.93214,52.806301
17196,miss,116.681694,18.342737
19744,miss,104.251975,14.310458
13572,soft-hit,129.874557,24.428676
13353,miss,122.960883,11.996411
34342,miss,140.667338,42.011333
26994,soft-hit,171.363237,29.96465
16607,miss,129.554057,48.487549
