Querier,Cache log,Generation Time,Execution Time
Querier,Cache log,Generation Time,Execution Time
Querier,Cache log,Generation Time,Execution Time
28278,miss,567.292337,29.231494
15574,miss,118.826053,42.702445
32888,miss,120.245537,26.818038
26371,miss,107.841176,36.356959
30736,miss,103.239818,66.192767
28513,miss,78.284085,22.448304
22979,miss,104.348194,28.134002
1455,miss,100.637819,47.961562
7327,miss,100.347457,22.677872
34058,miss,99.844323,24.03827
19345,miss,95.433424,47.749942
14813,miss,97.631677,19.071395
16377,miss,96.479828,23.992047
11043,miss,96.862377,18.110289
3718,miss,96.618092,13.17385
31102,miss,97.433786,26.762721
19963,miss,97.043415,27.002103
17225,miss,92.449195,16.097171
1455,soft-hit,101.638378,62.699751
7802,miss,90.320139,13.57644
5352,miss,90.756082,31.574643
2045,miss,89.976141,87.678196
4331,miss,91.976262,58.464464
35240,miss,91.420157,23.387791
2857,miss,89.719365,15.251759
35756,miss,88.917036,35.276976
4331,soft-hit,95.53344,11.901469
19924,miss,112.85683,11.124213
34772,miss,90.725995,17.407199
34618,miss,96.596004,262.750734
11282,miss,94.626946,233.008947
30414,miss,92.432863,14.206149
35244,miss,88.996161,39.33799
13138,miss,96.337105,20.889502
1351,miss,93.523575,31.099159
21396,miss,92.690705,18.002433
29372,miss,93.848234,21.111162
22235,miss,90.870456,28.614644
299,miss,88.661818,13.161909
7327,soft-hit,92.851545,24.042777
26555,miss,94.178172,21.788752
4702,miss,91.047771,16.537653
9522,miss,123.300391,93.160957
1267,miss,98.184824,12.451469
9726,miss,129.043277,22.951967
31418,miss,99.260118,29.872782
721,miss,90.929677,20.779871
5704,miss,84.841668,25.354664
3328,miss,91.351625,25.9982
30250,miss,113.820522,28.483171
13661,miss,92.537202,37.420872
25956,miss,91.331764,11.644972
32069,miss,98.235449,18.491938
31943,miss,93.426508,21.742421
23907,miss,118.508712,27.083427
31264,miss,92.387917,16.094484
16701,miss,93.531835,35.564305
25357,miss,91.362635,19.017055
5704,soft-hit,93.652279,26.52264
13748,miss,120.135551,33.415429
23519,miss,92.391819,23.497644
7069,miss,104.643877,23.732076
1081,miss,93.07522,36.260466
20995,miss,91.188934,33.942643
19421,miss,98.989929,18.415799
10285,miss,91.506898,15.564258
22235,soft-hit,90.482022,28.536657
32888,soft-hit,92.067265,23.530487
32910,miss,92.439536,30.937419
30311,miss,90.378397,15.656521
299,soft-hit,91.340636,15.93353
12775,miss,92.69133,20.870553
5654,miss,91.550132,21.655249
32603,miss,90.952364,51.320893
14312,miss,93.327988,27.776559
21672,miss,103.077096,66.949674
22735,miss,89.197306,29.931674
32910,soft-hit,92.522032,31.131156
11374,miss,96.74035,53.585912
10287,miss,94.46704,16.905617
2561,miss,90.061337,185.906976
1081,soft-hit,91.988312,34.532568
5352,soft-hit,90.445824,30.042691
23519,soft-hit,90.970309,21.483514
14246,miss,91.078023,19.118963
11383,miss,97.370036,40.20024
1704,miss,114.734992,21.518018
34280,miss,93.919849,25.747858
25357,soft-hit,94.041746,17.173237
35470,miss,97.387831,19.71605
2561,soft-hit,106.362971,183.807869
22335,miss,86.645595,74.549179
12873,miss,97.526034,974.722109
9868,miss,96.432951,26.046595
8010,miss,88.560045,23.150708
22764,miss,95.643732,87.460151
8881,miss,114.54193,25.34612
6533,miss,106.881332,20.906159
23519,soft-hit,89.370616,21.689067
20718,miss,85.959642,26.325229
29987,miss,91.387424,16.2605
13824,miss,126.353207,21.828216
22305,miss,91.90164,346.960007
4178,miss,96.189971,91.039627
14813,soft-hit,115.401916,13.68158
32741,miss,88.376216,13.070316
33011,miss,88.476319,18.799019
23952,miss,94.730324,18.268187
33733,miss,91.401506,15.935331
23952,soft-hit,90.787566,23.961724
23416,miss,87.338642,24.500466
26697,miss,95.30291,15.567224
7069,hit,0,19.333929
35244,soft-hit,88.752951,32.243694
14629,miss,99.123144,31.179647
16377,soft-hit,86.264965,18.475965
6626,miss,92.773495,30.880341
29360,miss,88.422919,27.851268
11315,miss,81.936918,30.171808
24514,miss,94.235306,13.638248
13797,miss,94.441418,11.743762
17956,miss,101.639886,58.317101
1995,miss,86.504032,13.662892
7016,miss,84.705563,19.662255
32603,soft-hit,89.48812,44.601175
16360,miss,94.703183,26.678573
36254,miss,94.2845,52.672816
16701,soft-hit,88.499501,32.02633
1040,miss,89.614469,103.57976
32634,miss,89.470421,22.439306
29668,miss,96.052696,21.776389
30088,miss,88.549137,57.353623
19392,miss,87.246274,83.289953
5704,soft-hit,88.347683,23.17446
16771,miss,95.364414,20.078722
6516,miss,125.213356,13.205907
16662,miss,92.841429,16.552515
34568,miss,102.62299,49.022341
14930,miss,94.277026,33.275827
6516,soft-hit,89.606624,13.698458
23519,soft-hit,88.418262,19.852078
13944,miss,91.316933,13.830269
26648,miss,106.028076,23.182775
7802,soft-hit,88.387252,12.710907
6415,miss,110.174368,27.216771
16505,miss,88.557647,25.37736
22979,soft-hit,87.745634,24.779022
7327,soft-hit,98.511329,21.001489
22735,soft-hit,97.797485,31.952286
15011,miss,90.35599,17.547278
13572,miss,87.61996,22.216703
34058,soft-hit,93.348618,21.372773
30250,soft-hit,87.737673,21.908425
32634,soft-hit,89.819395,20.857382
23969,miss,91.852393,14.803521
7880,miss,99.827024,19.253003
23371,miss,106.52503,10.471839
35756,soft-hit,100.161306,65.635734
3756,miss,88.496947,21.900129
36348,miss,95.451664,15.186494
12874,miss,88.040955,24.892518
1085,miss,133.038237,13.823781
36241,miss,87.387861,9.690551
16701,soft-hit,87.28392,31.045764
4331,soft-hit,94.971535,62.893565
12479,miss,89.190706,9.666274
22764,hit,0,77.797395
31264,soft-hit,99.983109,20.008575
27046,miss,90.79747,18.309918
15486,miss,91.601268,66.019666
