Querier,Cache log,Generation Time,Execution Time
Querier,Cache log,Generation Time,Execution Time
Querier,Cache log,Generation Time,Execution Time
10479,miss,520.157293,32.863057
24200,miss,124.908422,29.723854
2102,miss,108.456276,16.980055
34568,miss,116.460289,22.91945
496,miss,100.294821,35.376784
12141,miss,102.709571,56.930839
34679,miss,91.905786,25.593977
26265,miss,72.853193,16.37363
364,miss,98.471605,77.315934
29514,miss,95.652787,14.885693
19782,miss,103.790163,46.703308
23978,miss,95.917112,58.123323
16948,miss,90.005045,14.172454
2045,miss,90.445178,15.342186
26484,miss,92.447772,12.215832
15365,miss,95.457613,10.298907
22305,miss,90.105712,14.933488
1160,miss,93.297125,15.660947
1351,miss,90.547468,28.307588
13471,miss,90.212525,57.872706
32888,miss,89.339173,43.489748
3328,miss,88.382715,12.024123
16701,miss,88.20194,19.593512
20667,miss,90.806089,44.165358
26366,miss,90.135859,17.009997
13797,miss,90.213828,27.44095
21773,miss,89.854772,8.871355
3680,miss,89.236011,14.653063
28393,miss,88.553487,13.213972
18654,miss,87.934195,11.483525
30707,miss,88.751748,12.428114
34280,miss,88.513844,22.677718
11135,miss,89.143703,19.245039
35836,miss,88.453068,10.411547
28153,miss,87.669437,18.098526
16505,miss,87.604038,15.017115
34380,miss,86.202236,23.830018
21773,soft-hit,86.225469,26.099578
16143,miss,87.598212,985.477674
15354,miss,87.391554,16.372434
34290,miss,88.677385,38.755916
30311,miss,103.933162,39.727289
8620,miss,86.864475,16.525353
21396,miss,88.425704,24.102383
2124,miss,83.652052,16.721422
12873,miss,84.514203,14.578962
17196,miss,86.582787,15.112705
19991,miss,88.067203,14.194178
27046,miss,87.022484,24.645734
35397,miss,87.399241,14.863504
22979,miss,87.238967,13.197798
7802,miss,85.925167,19.015146
11374,miss,86.353884,21.970408
25811,miss,88.237938,14.938558
4331,miss,87.424958,12.701487
26096,miss,88.513461,47.11736
21345,miss,89.513547,30.501831
34410,miss,88.901241,21.98832
29540,miss,86.073333,12.828163
23371,miss,89.707592,89.314362
7069,miss,86.280183,22.708454
14068,miss,86.937013,15.803893
16948,soft-hit,85.261489,19.212793
14246,miss,82.683883,42.575872
21396,soft-hit,83.458311,23.824358
34647,miss,85.33682,14.023428
32603,miss,87.454318,12.994095
22735,miss,88.209929,13.012927
18131,miss,86.575979,12.709403
28513,miss,87.721051,37.118613
16701,soft-hit,84.611604,18.056541
28020,miss,87.415496,88.570609
9868,miss,94.249009,21.454521
6533,miss,87.843056,15.059159
13572,miss,87.419074,16.704556
4095,miss,86.285117,15.729735
9823,miss,112.622144,30.860727
14930,miss,90.0413,16.07924
17225,miss,83.726035,52.902998
3100,miss,89.029948,34.317638
12108,miss,86.651359,22.281313
14811,miss,91.416198,89.531798
14246,soft-hit,85.560996,45.633623
6626,miss,88.845989,19.526702
16360,miss,93.77544,22.525062
30311,soft-hit,87.994884,31.109217
5618,miss,87.350134,23.768312
19963,miss,79.394233,25.609136
12387,miss,86.531998,25.837341
32069,miss,86.237792,40.159086
29936,miss,87.553712,26.929604
1040,miss,91.639248,13.19573
3822,miss,94.463178,18.106474
29668,miss,87.297241,12.956494
11858,miss,87.176996,12.984657
34280,soft-hit,91.943897,22.291104
32818,miss,84.888546,25.152605
16701,soft-hit,87.692799,19.545996
9939,miss,83.916997,17.288258
17621,miss,87.112833,11.576888
7327,miss,86.74215,13.130695
13471,soft-hit,86.441268,59.664522
34039,miss,104.065957,50.208368
3476,miss,85.66068,14.724487
4331,soft-hit,86.697714,13.743584
23969,miss,86.255391,31.979881
17196,soft-hit,86.438921,15.165922
1581,miss,92.60085,13.58586
19924,miss,87.136954,19.382731
33733,miss,89.543739,11.647707
34058,miss,112.153792,13.510565
1085,miss,79.852335,16.40906
6824,miss,67.354487,37.282706
11135,soft-hit,85.012474,17.73003
25357,miss,94.095614,43.338786
28836,miss,85.408314,15.637336
30117,miss,73.760125,14.63572
26484,soft-hit,84.832736,25.797708
19924,soft-hit,87.31038,17.971964
20845,miss,86.259457,20.760178
3914,miss,100.113709,24.075402
28878,miss,85.414923,24.891024
3718,miss,88.248771,35.109747
19368,miss,86.256641,17.488649
32634,miss,69.063828,9.409994
19782,hit,0,44.805342
20239,miss,105.984985,17.973851
23540,miss,90.64744,383.27086
8881,miss,89.173092,23.579677
12775,miss,90.903391,14.586832
26555,miss,87.021931,18.547918
34380,soft-hit,85.147725,25.755973
2561,miss,83.287239,12.043152
33971,miss,85.778319,12.275125
6556,miss,84.373348,51.079061
20718,miss,84.813918,13.789868
16749,miss,86.729939,15.737487
30707,soft-hit,92.246342,11.093415
31863,miss,87.938596,33.515983
23519,miss,84.515629,12.850595
15538,miss,88.096302,233.511303
17798,miss,85.530231,15.302679
30414,miss,82.28144,21.033037
23203,miss,85.848449,23.271076
1455,miss,85.648926,12.705541
27309,miss,86.14657,14.102803
29260,miss,87.515895,14.201789
5379,miss,86.256058,66.930328
6979,miss,86.638318,57.778846
7802,soft-hit,85.552228,15.050648
6516,miss,90.109161,35.654897
5124,miss,85.155393,24.125301
2124,soft-hit,85.519911,15.228445
16749,soft-hit,82.570165,14.951029
11595,miss,99.925297,13.278465
32779,miss,85.69178,37.549293
13409,miss,92.809052,10.823278
11221,miss,93.065783,15.433927
4494,miss,93.544268,12.232178
34280,hit,0,21.312215
7069,soft-hit,88.550275,20.900067
32779,soft-hit,84.557567,35.453652
10054,miss,86.302551,9.028567
13944,miss,91.917522,26.81603
15814,miss,86.66825,12.464158
25811,soft-hit,86.116304,12.697631
11650,miss,87.243437,23.215537
22019,miss,86.095699,12.897783
25956,miss,86.734918,22.723246
26994,miss,83.849235,11.870834
36371,miss,85.592808,88.257907
16662,miss,86.249148,15.653625
