Querier,No. of Policies,Cache log,Generation Time,Execution Time,Policy Retrieval Time,Hit Total Time,Miss Total Time,Deletion Flag
Querier,No. of Policies,Cache log,Generation Time,Execution Time,Policy Retrieval Time,Hit Total Time,Miss Total Time,Deletion Flag
Querier,No. of Policies,Cache log,Generation Time,Execution Time,Policy Retrieval Time,Hit Total Time,Miss Total Time,Deletion Flag
29372,11,miss,530.599062,255.537108,60.604172,0,846.740342,0
4702,15,miss,148.532437,22.790238,80.649336,0,251.972011,0
23371,12,miss,139.348029,30.808717,68.154273,0,238.311019,0
34280,13,miss,144.155968,17.307746,73.285158,0,234.748872,0
18306,14,miss,150.388551,26.515154,78.162955,0,255.06666,0
34290,13,miss,134.523457,21.389279,72.685643,0,228.59837900000002,0
19392,11,miss,91.184976,13.80009,64.308682,0,169.293748,0
496,13,miss,123.692812,30.824745,77.122295,0,231.639852,0
721,13,miss,126.939193,20.722884,78.752703,0,226.41478,0
2124,14,miss,138.510053,18.25921,83.345301,0,240.114564,0
24388,12,miss,121.399914,22.445733,74.775232,0,218.620879,0
4889,13,miss,132.294658,54.653379,79.352815,0,266.30085199999996,0
32816,12,miss,122.885969,26.162287,74.535641,0,223.58389699999998,0
28878,16,miss,154.523057,22.016077,95.179526,0,271.71866,0
28335,10,miss,107.003664,13.629335,64.179473,0,184.812472,0
7802,15,miss,701.692988,70.425409,89.67759,0,861.795987,0
4889,used GE,hit,0,55.235794,0,55.235794,0,0
8010,10,miss,104.671015,17.590908,63.686383,0,185.948306,0
31264,10,miss,111.320291,19.997395,69.039122,0,200.356808,0
1081,13,miss,138.283072,17.992741,86.753023,0,243.028836,0
14515,12,miss,127.854215,40.929471,80.205485,0,248.989171,0
32816,13,soft-hit,136.345764,41.081198,84.927975,262.354937,0,false
26366,13,miss,144.374853,14.749992,91.408698,0,250.533543,0
5833,11,miss,120.453096,17.034605,74.48463,0,211.972331,0
28393,17,miss,166.294913,31.655095,104.388701,0,302.338709,0
1912,14,miss,144.56692,25.103605,91.871619,0,261.542144,0
34772,13,miss,139.38406,24.189666,85.103733,0,248.677459,0
29514,17,miss,164.651386,21.141226,103.933919,0,289.726531,0
33971,15,miss,149.787092,21.555851,93.628367,0,264.97131,0
12054,16,miss,156.294172,24.907915,98.883258,0,280.085345,0
28020,15,miss,149.654703,26.291698,93.788511,0,269.734912,0
25223,13,miss,135.298922,22.926636,83.529283,0,241.754841,0
3822,10,miss,110.981011,24.687477,70.177225,0,205.845713,0
27259,15,miss,173.787776,24.743593,118.696818,0,317.228187,0
22335,13,miss,139.9905,32.212861,90.624749,0,262.82811,0
27309,11,miss,120.246607,14.376791,79.937584,0,214.560982,0
7366,15,miss,151.14937,18.837332,100.130506,0,270.117208,0
14996,16,miss,161.197107,17.38288,107.308076,0,285.888063,0
16228,11,miss,119.685758,17.622128,78.893083,0,216.20096900000001,0
2102,10,miss,111.195555,15.371582,73.666961,0,200.23409800000002,0
8881,16,miss,157.994526,22.947248,105.782064,0,286.723838,0
4415,14,miss,142.810812,85.874457,94.623949,0,323.309218,0
11135,15,miss,150.700229,17.034386,101.504548,0,269.239163,0
23978,14,miss,154.857663,54.425964,103.560261,0,312.843888,0
24200,14,miss,143.589665,19.364563,95.897812,0,258.85204,0
2427,14,miss,143.461576,27.004977,94.715794,0,265.182347,0
20011,13,miss,136.91953,18.9713,89.898133,0,245.78896300000002,0
29156,11,miss,125.658298,43.091983,82.382008,0,251.13228900000001,0
30736,17,miss,167.965375,163.88824,112.104427,0,443.958042,0
29864,18,miss,175.756297,29.144421,117.117342,0,322.01806,0
5618,19,miss,184.283951,43.244454,122.285998,0,349.81440299999997,0
5706,15,miss,152.196745,30.092934,102.73031,0,285.019989,0
16607,20,miss,190.949014,26.813429,129.605802,0,347.368245,0
23791,12,miss,128.424867,59.491127,84.157396,0,272.07339,0
35302,13,miss,136.559193,71.818283,89.143633,0,297.52110899999997,0
14515,13,soft-hit,140.162741,42.565014,94.871811,277.599566,0,false
30077,15,miss,157.098365,34.030052,106.360443,0,297.48886,0
28247,13,miss,141.237246,22.251223,94.639229,0,258.127698,0
10455,16,miss,173.979169,56.432924,112.520911,0,342.933004,0
3680,15,miss,161.803383,40.716528,107.095323,0,309.615234,0
17225,21,miss,208.899014,34.027106,140.045638,0,382.971758,0
17463,17,miss,176.601981,68.713219,119.762523,0,365.077723,0
34410,15,miss,160.100381,19.537466,107.634102,0,287.271949,0
28490,18,miss,185.733047,43.21969,123.321161,0,352.27389800000003,0
12387,16,miss,167.765957,51.071157,112.81307,0,331.65018399999997,0
1408,12,miss,134.056209,92.950899,89.479305,0,316.48641299999997,0
17956,12,miss,133.852551,28.912635,89.656446,0,252.42163200000002,0
13471,25,miss,239.863129,28.194387,163.003713,0,431.061229,0
6096,16,miss,167.936515,61.789787,113.049983,0,342.77628500000003,0
29540,18,miss,186.840935,27.110404,126.351127,0,340.302466,0
27309,12,soft-hit,138.832296,16.814367,92.51657,248.16323300000002,0,false
9726,23,miss,226.038104,24.224772,152.837506,0,403.10038199999997,0
1995,19,miss,197.984436,21.06321,134.359926,0,353.40757199999996,0
364,14,miss,151.897421,28.126338,102.114255,0,282.138014,0
4415,16,soft-hit,167.426798,91.789129,112.128436,371.344363,0,false
16701,17,miss,176.800223,14.066261,118.851676,0,309.71816,0
11858,12,miss,134.85411,22.594496,89.637903,0,247.08650899999998,0
4095,13,miss,142.223998,20.812726,95.082193,0,258.118917,0
19719,15,miss,156.103253,30.541926,106.783023,0,293.428202,0
20845,14,miss,152.966901,24.308691,100.871671,0,278.147263,0
33733,14,miss,151.773302,50.292651,101.02802,0,303.093973,0
6516,16,miss,177.427112,28.843364,121.867121,0,328.137597,0
6533,19,miss,203.545772,40.132024,139.187014,0,382.86481000000003,0
31408,14,miss,168.582227,43.287691,122.225418,0,334.095336,0
6650,20,miss,208.851385,32.877646,144.141027,0,385.870058,0
35244,22,miss,226.215136,34.097885,155.902468,0,416.215489,0
34058,18,miss,190.983511,25.237049,131.976213,0,348.196773,0
11835,17,miss,182.007055,47.977161,125.555903,0,355.540119,0
11221,19,miss,212.114775,36.412001,150.287822,0,398.81459800000005,0
453,22,miss,224.915457,41.806746,154.945077,0,421.66728,0
29514,20,soft-hit,208.968128,22.419874,143.245628,374.63363000000004,0,false
35302,used GE,hit,0,72.513328,0,72.513328,0,0
16749,19,miss,203.137384,24.570686,140.349073,0,368.057143,0
11595,16,miss,175.340281,90.206851,119.689463,0,385.236595,0
32779,15,miss,167.868588,20.122798,115.225361,0,303.216747,0
2857,19,miss,208.983163,27.763149,145.145363,0,381.89167499999996,0
5692,19,miss,203.758103,408.886787,139.963666,0,752.608556,0
5352,15,miss,165.113058,39.465168,113.303826,0,317.882052,0
19924,19,miss,202.65686,29.846729,139.303178,0,371.80676700000004,0
16622,25,miss,255.24029,25.998107,177.428446,0,458.666843,0
31418,13,miss,146.793804,29.38255,101.048944,0,277.225298,0
18852,16,miss,174.721099,66.923852,119.124294,0,360.769245,0
35836,11,miss,130.448053,37.073437,89.58172,0,257.10321,0
580,20,miss,210.253503,43.76624,144.885501,0,398.90524400000004,0
5566,13,miss,146.629602,16.749916,100.62454,0,264.004058,0
9189,16,miss,173.980436,19.146386,120.165888,0,313.29271,0
3680,18,soft-hit,192.435153,48.385696,132.281258,373.10210700000005,0,false
30414,12,miss,139.313198,61.956182,94.515298,0,295.784678,0
13512,19,miss,199.671756,38.437504,138.250603,0,376.359863,0
4889,18,soft-hit,191.409672,56.327899,131.517339,379.25491,0,false
13073,19,miss,201.658648,21.860047,139.784987,0,363.303682,0
21345,17,miss,186.144327,32.373932,128.562599,0,347.08085800000003,0
177,21,miss,226.308177,130.180745,157.141763,0,513.630685,0
1023,15,miss,171.620022,36.496397,119.046455,0,327.162874,0
16692,14,miss,161.45396,16.94907,113.439102,0,291.842132,0
22305,19,miss,208.138981,30.161426,147.335858,0,385.636265,0
17778,18,miss,202.052982,27.139557,143.626603,0,372.81914199999994,0
25956,15,miss,172.438854,47.457676,120.627814,0,340.524344,0
14629,21,miss,224.317361,51.234242,158.45741,0,434.009013,0
1040,27,miss,277.95871,58.597976,196.030508,0,532.587194,0
11043,12,miss,152.860331,24.80984,108.696293,0,286.366464,0
5618,20,soft-hit,216.707291,44.686166,153.356798,414.750255,0,false
15574,15,miss,172.30492,20.844933,121.001849,0,314.151702,0
19719,16,soft-hit,183.705496,48.17537,127.111617,358.992483,0,false
26697,20,miss,216.725785,13.513707,153.651088,0,383.89058,0
34772,15,soft-hit,174.005286,23.08328,120.847428,317.935994,0,false
29514,22,soft-hit,233.469593,19.809255,164.508641,417.78748900000005,0,false
4415,19,soft-hit,231.510633,109.244938,147.329539,488.08511,0,false
8620,24,miss,242.609848,17.482356,176.891111,0,436.983315,0
8071,14,miss,163.000675,26.414503,116.351861,0,305.767039,0
15365,13,miss,152.75467,20.057572,109.175966,0,281.988208,0
12108,13,miss,154.727902,18.072799,109.789588,0,282.590289,0
17778,used GE,hit,0,28.045535,0,28.045535,0,0
34568,25,miss,257.484363,47.838718,186.651171,0,491.974252,0
3476,13,miss,149.813785,56.403486,106.793424,0,313.010695,0
8389,25,miss,258.631247,45.88749,185.614865,0,490.133602,0
9823,22,miss,230.1743,32.834822,164.473055,0,427.482177,0
13073,23,soft-hit,239.050203,20.468595,171.808716,431.327514,0,false
12487,19,miss,205.708431,18.915122,148.068716,0,372.692269,0
6096,18,soft-hit,194.346419,60.517577,138.391739,393.25573499999996,0,false
12813,20,miss,210.562812,45.182198,152.633279,0,408.378289,0
