Querier,Cache log,Generation Time,Execution Time,Policy Retrieval Time,Hit Total Time,Miss Total Time,Deletion Flag
Querier,Cache log,Generation Time,Execution Time,Policy Retrieval Time,Hit Total Time,Miss Total Time,Deletion Flag
Querier,Cache log,Generation Time,Execution Time,Policy Retrieval Time,Hit Total Time,Miss Total Time,Deletion Flag
34568,miss,328.25604,15.277801,1.22805,0,344.761891,0
21741,miss,12.095618,6.152845,1.337016,0,19.585479,0
7327,miss,9.933724,6.916932,0.993958,0,17.844614,0
13138,miss,9.853367,5.641255,0.932574,0,16.427196000000002,0
13138,hit,0,7.932102,0,7.932102,0,0
9939,miss,10.465451,6.242024,0.862331,0,17.569806,0
6556,miss,9.907384,5.881672,0.878548,0,16.667604,0
26265,miss,9.19296,7.652767,0.974288,0,17.820014999999998,0
11660,miss,8.931058,6.925679,0.77246,0,16.629196999999998,0
21672,miss,8.713152,6.434888,0.767654,0,15.915693999999998,0
13409,miss,10.804779,5.173901,0.868988,0,16.847668,0
14246,miss,13.123731,5.566682,1.117702,0,19.808115,0
9522,miss,12.890773,5.387967,0.990319,0,19.269059,0
3822,miss,11.416263,4.998516,0.771871,0,17.18665,0
14246,hit,0,5.343442,0,5.343442,0,0
3100,miss,8.223773,5.628967,0.917945,0,14.770685,0
16142,miss,9.802674,4.661309,0.752492,0,15.216474999999999,0
27323,miss,7.380801,4.8176,0.716471,0,12.914871999999999,0
7598,miss,11.913431,4.414672,1.784682,0,18.112785,0
32816,miss,7.980827,4.980393,0.789259,0,13.750479,0
29864,miss,9.941742,7.350006,0.839502,0,18.13125,0
16142,hit,0,6.071552,0,6.071552,0,0
16142,hit,0,5.399082,0,5.399082,0,0
3100,hit,0,6.314706,0,6.314706,0,0
35470,miss,10.353944,6.760903,0.813356,0,17.928203,0
10054,miss,9.143436,6.370244,0.879371,0,16.393051,0
5692,miss,13.682387,6.764703,1.111283,0,21.558373,0
3328,miss,9.783356,6.892895,0.817181,0,17.493432,0
3100,hit,0,6.519385,0,6.519385,0,0
3328,hit,0,8.057848,0,8.057848,0,0
16692,miss,10.950024,9.882663,1.019621,0,21.852308,0
28194,miss,10.340977,6.572733,0.993788,0,17.907498,0
22282,miss,12.997655,6.497724,0.93607,0,20.431449,0
14629,miss,8.864707,5.980971,0.833987,0,15.679665,0
13944,miss,11.88958,5.785363,1.159908,0,18.834851,0
13959,miss,9.159505,5.916984,0.895196,0,15.971685,0
9823,miss,6.942082,4.8604,0.834329,0,12.636811000000002,0
30736,miss,10.243372,7.180258,0.912631,0,18.336261,0
5692,soft-hit,8.065771,6.260027,0.912639,15.238437,0,true
20239,miss,8.739692,5.944345,0.883662,0,15.567699000000001,0
17956,miss,9.011288,5.907386,0.929446,0,15.84812,0
13708,miss,7.566603,6.856588,0.997523,0,15.420714,0
29514,miss,8.115035,6.28543,0.830366,0,15.230831,0
5766,miss,6.705881,4.863311,0.876569,0,12.445761000000001,0
3328,hit,0,4.949696,0,4.949696,0,0
17196,miss,8.617979,6.520324,0.890306,0,16.028609,0
16692,hit,0,5.551062,0,5.551062,0,0
29514,hit,0,6.509241,0,6.509241,0,0
5766,hit,0,6.29575,0,6.29575,0,0
35244,miss,14.049647,6.841862,1.646621,0,22.538130000000002,0
13708,hit,0,6.847219,0,6.847219,0,0
