Querier,Cache log,Generation Time,Execution Time
Querier,Cache log,Generation Time,Execution Time
Querier,Cache log,Generation Time,Execution Time
11221,miss,200.850682,11.124658
35244,miss,5.06182,6.013542
12813,miss,4.378617,6.464123
1267,miss,4.653632,5.940835
26475,miss,3.864416,4.45486
34290,miss,5.034219,5.121687
26366,miss,7.602275,4.64099
11629,miss,4.372424,5.906737
8071,miss,4.048074,4.546245
13944,miss,7.080226,11.265871
6096,miss,4.280166,4.50186
1023,miss,4.478474,7.876175
19421,miss,4.411484,4.741469
2045,miss,5.797837,6.102732
19421,hit,0,4.489218
4465,miss,5.932566,7.691967
3680,miss,6.692375,118.927057
12141,miss,5.869104,4.872804
4465,hit,0,9.085646
14068,miss,5.979797,4.963743
6415,miss,5.3682,7.882334
9939,miss,7.79844,5.050361
33418,miss,10.403434,17.553547
4178,miss,8.015545,124.465684
15574,miss,7.102204,4.488381
11835,miss,6.409678,23.134714
32888,miss,5.646462,8.124232
32779,miss,8.551833,7.282467
28490,miss,10.368961,4.055137
12840,miss,7.082329,7.424234
11374,miss,8.251747,8.333428
1455,miss,5.991762,4.478895
7208,miss,8.435808,8.914934
16920,miss,10.676234,10.845512
26171,miss,7.169504,5.433379
30077,miss,7.303936,3.501526
7432,miss,11.903836,10.034872
34397,miss,8.068706,7.600608
3914,miss,8.701705,4.275312
34380,miss,9.831706,5.525452
32083,miss,8.965779,4.288241
15574,hit,0,4.460918
30134,miss,9.171978,9.992383
177,miss,10.048124,6.781514
34380,hit,0,4.70689
19345,miss,7.924264,3.797307
16143,miss,8.482365,21.281803
29540,miss,7.932605,3.747889
33728,miss,12.394882,5.337234
29514,miss,8.230022,4.24116
35836,miss,10.145209,4.481429
8830,miss,11.671929,4.183876
22764,miss,15.081399,153.782275
34912,miss,10.055306,3.809729
11374,soft-hit,12.97025,7.331172
31102,miss,9.331406,3.404604
9375,miss,14.611871,9.860574
13138,miss,10.249513,3.221561
9522,miss,12.271026,4.303955
6979,miss,15.711579,15.503947
13471,miss,13.861525,16.448595
428,miss,11.595084,3.926557
22735,miss,11.848091,4.75572
30720,miss,13.873716,11.495838
23540,miss,11.938851,20.679171
9163,miss,13.197443,5.547259
30117,miss,13.233049,4.601264
23400,miss,14.239566,11.341563
15088,miss,13.131562,9.885997
25357,miss,17.586816,5.186115
22764,hit,0,150.539281
13073,miss,16.564791,8.542792
28490,soft-hit,16.208288,20.731881
4141,miss,10.982122,6.902074
27309,miss,15.872224,21.940662
27302,miss,14.38667,4.169575
29936,miss,17.122778,15.876733
30743,miss,12.482184,4.871376
580,miss,17.627109,10.282347
35756,miss,14.063028,3.505887
803,miss,12.795,4.077822
24061,miss,13.138488,16.155271
3100,miss,17.524754,7.585543
5674,miss,18.374715,13.988081
22282,miss,15.801718,8.350363
12148,miss,20.069458,9.676087
28490,hit,0,19.692437
29826,miss,18.785879,7.782356
23978,miss,17.161183,7.949374
1766,miss,16.576951,5.295786
23791,miss,13.526473,3.79809
5566,miss,14.51799,22.123612
13138,soft-hit,18.716303,5.593846
15538,miss,21.252742,6.857067
33418,soft-hit,21.442651,29.871271
22764,soft-hit,23.790547,170.363807
20845,miss,21.044094,4.154805
16491,miss,52.129597,245.674606
32888,hit,0,4.899901
11650,miss,17.051991,3.815789
6626,miss,16.272109,3.668963
4141,hit,0,5.347111
36348,miss,42.609948,22.965681
6556,miss,23.477275,6.261943
29987,miss,24.072594,117.870599
27302,soft-hit,27.595057,33.844157
31342,miss,16.205443,3.581635
23952,miss,19.214459,5.826997
30088,miss,28.396669,12.129674
177,soft-hit,19.844634,7.788478
6556,hit,0,50.615561
35244,soft-hit,27.35968,41.816647
5674,soft-hit,23.625437,13.788823
13572,miss,23.734738,5.128677
5766,miss,20.205962,69.562311
35796,miss,23.086697,5.259978
14601,miss,19.802897,5.130024
5131,miss,21.626605,20.919235
9823,miss,26.544331,27.824185
35244,soft-hit,29.249807,116.302152
2836,miss,31.726056,93.550399
23969,miss,18.15736,5.195237
10054,miss,27.899905,7.939516
21741,miss,32.13358,9.359544
22335,miss,23.429946,21.639072
35836,soft-hit,25.760179,29.30352
10283,miss,20.115594,22.037117
18306,miss,24.076054,10.487065
9823,soft-hit,23.847329,6.697003
23907,miss,23.971461,5.266525
1267,soft-hit,23.973428,21.376469
23969,hit,0,4.460445
15538,soft-hit,26.222218,7.501976
18575,miss,22.319409,8.76484
9375,soft-hit,24.064371,5.280998
10285,miss,24.014603,6.415681
28153,miss,24.656268,34.509134
35836,soft-hit,24.49234,5.988593
27302,soft-hit,28.249412,6.517442
299,miss,22.894649,28.419588
13944,soft-hit,25.695341,17.424593
23791,hit,0,3.268575
30743,soft-hit,25.394939,7.327333
32083,soft-hit,31.84989,9.663216
17225,miss,27.643008,22.675686
34397,hit,0,4.190127
19744,miss,23.230101,13.762651
9823,hit,0,23.119959
5674,soft-hit,30.523529,11.145719
6516,miss,27.43213,6.788338
11221,miss,33.967877,40.302139
26697,miss,29.178167,7.747879
453,miss,31.615092,3.93651
23416,miss,24.53448,2.554399
34912,soft-hit,25.997262,12.473717
7880,miss,25.221173,11.43419
7208,soft-hit,24.84593,69.769873
5618,miss,25.49315,4.763014
36241,miss,24.496347,5.376036
4465,soft-hit,25.523777,9.302152
10455,miss,27.884981,6.492037
34568,miss,47.055002,10.922175
2108,miss,24.337728,5.104159
13353,miss,24.172922,5.059123
13353,hit,0,4.5202
1766,soft-hit,27.544499,15.122093
34342,miss,28.265593,35.19051
4178,soft-hit,32.560105,3.659504
35244,soft-hit,38.919825,160.369653
13073,soft-hit,37.737909,5.449288
30088,soft-hit,38.480413,19.160714
5997,miss,34.084177,4.160996
28335,miss,30.643899,36.037387
