Querier,Cache log,Generation Time,Mergeability Time,Execution Time
Querier,Cache log,Generation Time,Mergeability Time,Execution Time
Querier,Cache log,Generation Time,Mergeability Time,Execution Time
5997,miss,222.685281,0,49.136948
11835,miss,5.870391,0,6.380256
1455,miss,4.315348,0,18.672482
9746,miss,6.5376,0,4.851976
11315,miss,4.038004,0,6.75936
16607,miss,6.231541,0,7.968262
34039,miss,5.534223,0,11.333892
21396,miss,4.557313,0,9.235519
31086,miss,3.259998,0,6.643638
18648,miss,5.42115,0,29.129216
5692,miss,3.821272,0,5.336901
17778,miss,3.669327,0,3.995285
26994,miss,9.650422,0,6.987841
3822,miss,5.941697,0,4.306543
31086,hit,0,0,4.553156
35546,miss,4.423597,0,4.870242
30350,miss,6.21179,0,12.858746
28278,miss,9.505239,0,96.671736
5692,updation,0.989408,0.026464,5.50661
580,miss,8.778792,0,4.310281
9868,miss,6.873686,0,4.7764
9726,miss,6.603732,0,6.759317
14813,miss,6.164622,0,4.279333
29514,miss,6.149019,0,4.485565
32774,miss,6.525514,0,4.435896
35796,miss,7.868485,0,4.804758
7880,miss,5.934808,0,6.06895
8197,miss,5.980336,0,3.752917
580,updation,2.25396,0.034802,5.04816
19924,miss,6.398856,0,4.427734
21475,miss,8.562463,0,5.107986
7880,hit,0,0,5.846227
28114,miss,12.602546,0,8.364499
29596,miss,8.6888,0,4.712379
14525,miss,9.743602,0,39.156262
23978,miss,9.622037,0,4.593725
9522,miss,8.270601,0,5.51971
27309,miss,9.580436,0,16.27531
2427,miss,9.74796,0,7.772862
35240,miss,10.623472,0,21.62662
9726,updation,0.80229,0.011182,5.039834
23907,miss,9.096905,0,7.525321
25357,miss,9.862598,0,10.515105
30707,miss,16.097547,0,8.701571
16692,miss,12.421341,0,6.407202
5704,miss,8.910101,0,4.266373
13409,miss,12.166744,0,11.87715
11858,miss,11.632406,0,5.705764
13024,miss,14.329888,0,7.568965
6516,miss,14.921431,0,7.972113
20239,miss,16.679571,0,15.547623
29864,miss,10.511453,0,5.402975
5704,updation,0.718038,0.007483,3.278749
33971,miss,12.52614,0,5.047564
15486,miss,12.652923,0,6.151564
26366,miss,13.419345,0,6.593065
34039,updation,7.376484,0.045696,12.454095
33011,miss,15.749688,0,6.672644
1912,miss,15.226997,0,20.300403
13959,miss,12.597089,0,7.906104
13661,miss,13.052806,0,18.999094
13748,miss,16.511003,0,7.103187
15538,miss,17.526254,0,6.462152
21475,updation,2.78192,0.029518,6.90175
22335,miss,13.602485,0,21.677017
2045,miss,13.194965,0,7.600509
25113,miss,19.529047,0,4.633845
34618,miss,14.051131,0,4.089416
19684,miss,14.800732,0,5.694045
453,miss,18.488997,0,18.424797
33049,miss,12.787498,0,7.978133
3822,updation,1.727258,0.011006,3.9336
5833,miss,14.392657,0,3.028229
16948,miss,17.716341,0,4.86815
33728,miss,18.923425,0,52.821225
28247,miss,16.316642,0,11.555054
22764,miss,16.672288,0,104.181774
4889,miss,20.168233,0,19.080287
18648,updation,12.766785,0.035504,19.368001
9868,updation,7.054253,0.04787,36.099942
26371,miss,26.201011,0,4.455278
19345,miss,16.336537,0,3.868208
11383,miss,20.169192,0,4.584666
34912,miss,18.5931,0,27.584843
580,updation,3.795447,0.055139,33.188993
6415,miss,17.07152,0,9.034538
9746,updation,4.136265,0.027445,5.298514
21396,updation,3.525288,0.022564,7.234503
29596,updation,4.62388,0.028207,3.56168
14811,miss,22.169523,0,111.076844
34290,miss,22.689311,0,6.742186
15354,miss,17.603755,0,8.354634
28020,miss,19.366926,0,4.117452
33011,updation,2.848497,0.065279,7.700872
13797,miss,24.351782,0,28.00392
11383,hit,0,0,4.665632
16505,miss,18.784795,0,11.172216
10283,miss,19.342099,0,15.896876
7366,miss,20.045109,0,6.044577
34280,miss,23.974377,0,21.607699
14996,miss,25.281166,0,9.449679
5706,miss,23.646919,0,11.895814
4167,miss,23.399721,0,9.077179
7802,miss,23.61472,0,19.422336
2836,miss,33.404575,0,69.254371
22235,miss,20.711545,0,25.374866
12487,miss,36.557886,0,41.245185
12775,miss,20.103599,0,3.507404
28836,miss,22.809335,0,5.082005
36254,miss,23.905737,0,13.429255
19392,miss,22.926213,0,4.753975
18784,miss,28.018978,0,6.082826
428,miss,22.219671,0,8.310152
19368,miss,21.409667,0,16.903742
26555,miss,25.164925,0,4.983897
5124,miss,24.160717,0,47.94553
10455,miss,23.94677,0,32.782308
22305,miss,34.02328,0,19.115125
34568,miss,39.08687,0,17.271025
16143,miss,26.24887,0,68.760712
19368,hit,0,0,17.637121
9823,miss,29.587701,0,7.997689
33728,updation,1.127882,0.053714,7.797798
28020,updation,3.567376,0.154379,5.692877
1081,miss,22.892089,0,3.752295
10054,miss,33.560358,0,11.220448
30311,miss,32.85517,0,72.450915
23540,miss,24.523696,0,20.298432
28836,updation,2.086965,0.018123,63.270913
36254,hit,0,0,18.135981
803,miss,24.163178,0,6.103769
28393,miss,40.721705,0,11.152972
34039,updation,8.914354,0.048358,23.23728
1766,miss,27.688577,0,4.593677
34772,miss,35.998069,0,57.302907
26475,miss,33.806993,0,15.355421
7802,updation,2.523126,0.005766,27.280108
5566,miss,30.447885,0,6.386435
30743,miss,36.253734,0,40.683708
14629,miss,31.738881,0,5.280109
35796,updation,7.019586,0.021423,5.337772
1704,miss,39.678905,0,15.438784
16776,miss,45.083449,0,123.230542
299,miss,32.767778,0,47.572691
18530,miss,26.18208,0,5.761021
13959,updation,4.080643,0.007678,29.167142
11315,updation,12.408526,0.009671,7.06214
12054,miss,36.003272,0,5.589544
25956,miss,31.522139,0,86.700041
23952,miss,29.370732,0,4.305924
3680,miss,29.574412,0,6.843283
14451,miss,34.473723,0,10.170943
14813,updation,11.016102,0.019476,5.928723
32816,miss,33.644837,0,5.689751
428,hit,0,0,5.489763
30414,miss,28.450682,0,8.154085
1351,miss,33.004064,0,7.853084
4167,updation,3.064386,0.011906,3.386807
13138,miss,45.518967,0,10.398916
11282,miss,33.546135,0,6.675703
7432,miss,53.608675,0,19.69533
23907,updation,7.484239,0.021069,58.237456
36373,miss,30.925016,0,62.472142
