Querier,allow policy size,no. of guards,guard size,generation_time
23,178,37,1099,258
34,139,29,860,137
37,156,25,961,171
38,174,37,1074,151
43,156,32,963,120
53,157,28,969,156
56,191,8,1150,131
69,188,33,1160,143
76,145,25,893,187
77,172,32,1059,137
80,151,30,930,112
81,175,35,1081,137
87,182,42,1125,151
100,165,30,1017,125
114,102,8,617,75
118,177,39,1094,144
120,185,41,1142,148
133,187,14,1136,223
140,195,41,1203,151
141,245,14,1477,210
142,182,33,1120,207
149,149,30,918,124
157,184,37,1134,158
171,210,38,1294,194
173,180,38,1113,185
177,189,25,1153,179
180,147,32,910,109
185,244,26,1487,244
186,177,32,1090,128
193,186,36,1147,204
210,176,35,1085,128
216,152,31,938,113
217,160,31,988,132
235,206,39,1271,191
251,212,39,1308,189
257,166,20,1010,141
262,206,19,1252,289
263,185,32,1140,160
265,275,24,1668,229
280,170,35,1051,137
299,158,30,976,142
300,193,38,1195,167
314,150,28,925,127
317,178,34,1100,129
326,213,41,1315,198
353,196,40,1209,154
355,189,37,1169,161
356,231,43,1425,221
364,169,32,1044,130
372,209,40,1290,172
387,197,40,1213,210
393,202,41,1246,219
401,147,26,905,122
402,174,30,1070,141
416,230,44,1419,284
428,186,17,1131,163
432,213,17,1292,198
433,186,16,1131,142
439,201,40,1243,157
453,251,44,1545,242
459,224,47,1387,306
466,158,30,975,140
474,192,30,1178,166
479,189,8,1138,264
496,164,22,1006,141
501,153,16,933,177
532,207,37,1275,170
542,230,44,1420,226
544,205,37,1264,142
550,222,41,1366,150
555,187,21,1141,127
560,207,37,1273,140
568,230,37,1414,196
580,233,43,1435,163
588,132,25,816,113
597,131,16,800,103
612,202,39,1248,198
614,264,49,1627,201
625,234,17,1419,180
633,167,20,1020,156
634,241,42,1485,178
637,238,41,1464,181
638,188,33,1157,171
640,227,25,1383,176
649,137,26,845,105
651,228,44,1408,287
653,169,37,1049,142
654,258,46,1591,278
656,150,16,915,108
673,231,42,1423,171
675,243,12,1469,161
676,221,38,1358,163
677,234,44,1445,196
690,245,45,1510,177
696,259,40,1589,256
698,236,41,1451,181
707,151,3,909,144
710,250,34,1530,189
717,162,34,1000,118
719,153,25,941,111
721,224,45,1385,163
727,131,28,809,109
731,183,32,1127,126
739,194,24,1183,154
740,140,29,865,94
741,224,41,1382,154
746,170,35,1052,117
755,188,7,1132,125
761,151,29,932,172
783,205,34,1261,164
786,195,36,1200,139
795,220,47,1363,148
798,194,22,1182,128
803,225,15,1362,159
814,218,42,1348,151
827,184,37,1136,125
828,248,42,1527,169
836,139,17,846,86
857,179,33,1104,175
864,137,32,850,94
865,220,42,1359,155
870,121,24,747,81
887,112,25,693,110
888,180,34,1113,146
906,159,34,983,126
909,165,39,1023,284
912,128,28,793,87
922,166,40,1029,119
935,112,26,692,73
945,164,33,1011,117
947,80,18,495,89
955,105,21,648,74
958,211,42,1303,155
989,230,41,1416,176
999,143,27,883,99
1008,217,35,1333,243
1023,202,39,1248,153
1028,181,8,1090,133
1037,166,25,1020,129
1040,188,36,1161,138
1041,279,47,1719,220
1044,151,13,910,108
1051,184,39,1138,136
1063,164,8,990,105
1070,152,21,928,105
1073,130,8,784,90
1074,147,27,908,385
1079,287,5,1718,224
1081,223,36,1370,179
1082,154,32,950,128
1085,150,33,925,111
1088,143,29,881,111
1093,81,19,502,158
1100,192,35,1185,152
1123,220,17,1333,147
1131,201,42,1244,299
1133,192,16,1165,173
1152,265,25,1608,201
1158,161,13,976,128
1160,122,26,754,84
1162,172,32,1060,116
1173,230,28,1404,158
1184,239,42,1472,236
1202,132,28,818,92
1204,97,20,600,63
1208,218,40,1347,201
1211,198,16,1201,141
1220,192,37,1186,139
1224,191,8,1145,140
1235,185,7,1111,129
1239,121,24,748,81
1253,247,47,1525,281
1261,273,27,1660,181
1266,165,28,1018,138
1267,206,42,1272,140
1269,149,26,918,106
